Job No,Corpus,Model,Configuration,,FPR/article,FNR/article,TPR/article,TNR/article,FPR/tag,FNR/tag,Magic Number,Sum,Product,Date,0.1385ln(x)+y,,,,
,Old,Jianna's Manual,Old,Old,,,,,1.663,0.836,2.4227206,2.499,1.390268,,0.906444313229194,,,,
,Old,Jianna's Manual,New,New,,,,,2.23753525837008,0.818939970073898,,3.05647522844398,1.83240705752888,,0.930484397736725,,,,
,Old,Jianna's Manual,Lower,Lower,,,,,2.50069766029671,0.767006595798112,,3.26770425609482,1.91805159954448,,0.893951507151156,,,,
,,TF-IDF + NB,"Default, Full Text",,,,,,0.021,0.961,,0.982,0.020181,,0.425942251485668,,,,
,,,"Default, Title",,0.053292505668255,2.24766031133576,,,0.021996967239332,0.927742270955949,,0.949739238195281,0.020407516340762,,0.399108450684012,,,,
,,,"5-0.4, Full Text",,0.450272858892972,1.88565074780221,,,0.185854224747572,0.778319525496341,,0.964173750243913,0.14465397201702,,0.545252743406476,,,,
,,,"5-0.4, Title",,0.085198797193451,2.1350067720739,,,0.035166579750654,0.881243496288388,,0.916410076039041,0.03099031969197,,0.417592712838251,,,,
,,,"3-0.3, Full Text",,0.318352140657951,2.01510693410071,,,0.131402746423979,0.831753745809859,,0.963156492233839,0.109294726547848,,0.550669620151417,,,,
,,,"5-0.3, Full Text",,0.438992056734531,1.89362634678048,,,0.18119797088221,0.781611526636823,,0.962809497519033,0.141626422644739,,0.545030662550224,,,,
,,,"5-0.2, Full Text",,0.448031068909893,1.89625973148816,,,0.184928905508086,0.782698480166537,,0.967627385674623,0.14474357328004,,0.548940420775941,,,,
,,,"10-0.4, Full Text",,0.641317195319544,1.73363654979899,,,0.264709515129208,0.7155742803355,,0.980283795464708,0.189419320786542,,0.531490852373456,,,,
,,,"10-0.1, Full Text",,0.68898756596934,1.72661299304111,,,0.284385894918853,0.712675243295125,,0.997061138213977,0.202674786850995,,0.538522133113283,,,,
,,,"15-0.1, Full Text",,0.77037819428128,1.63893888607467,,,0.317980618269098,0.676486956884203,,0.994467575153301,0.215109740801019,,0.517798525588729,,,,
,,,"20-0.1, Full Text",,0.883276031169503,1.59833877614074,,,0.36458022900763,0.659728891619091,,1.02430912062672,0.240524110389438,,0.519981194323072,,,,
,,,"20-0.05, Full Text","20-0.05, Full Text",0.854222573393287,1.59829925740706,,,0.352588149617123,0.659712579901727,,1.01230072951885,0.232606837826689,,0.515332615287086,,,,
,,TF-IDF + NB,"15-0.02, Full Text",15-0.02,0.66125978537735,1.69164250634994,,,0.272941000863802,0.698240856312503,,0.971181857176304,0.190578558165932,,0.518398658775583,,,,
,,,"25-0.02, Full Text",25-0.02,0.813906283119393,1.593959381927,,,0.335947233502449,0.657921256758621,,0.99386849026107,0.221026826070513,,0.506845294090513,,,,
,,,"50-0.01, Full Text",50-0.01,0.850838336045755,1.55112466723429,,,0.35119127481962,0.640240838020814,,0.991432112840434,0.224846996096112,,0.495311077811724,,,,
,,,"ComplementNB, 5-0.3, Full Text","ComplementNB, 5-0.3",1.49097715457932,2.5418916540027,,,0.615414404194739,1.04918893825508,,1.66460334244981,0.645685985323958,,0.981952809951126,,,,
,,TF-IDF* + NN,"1%, 10 epochs [400,200] ReLU Adam",,0.376077586206896,1.94181034482758,,,0.155229449985647,0.80149991081414,,0.956729360799787,0.124416390319224,,0.543495056431308,,,,
,,,"2%, 10 epochs [400,200] Sigmoid Adam",,0.077061253817137,2.39446739716184,,,0.031807734584474,0.988338233125949,,1.02014596771042,0.031436800198958,,0.510783890817084,,,,
,,,"10%, 4 epochs [800,400] ReLU Adam",,0.538530626908568,1.5264594934435,,,0.222283422574014,0.630060062825032,,0.852343485399046,0.140051907191946,,0.421783481239399,,,,
,,,"10%, 4 epochs [800,400,200] ReLU Adam",,0.491575354769175,1.60811927429495,,,0.202902206209488,0.663765881338092,,0.86666808754758,0.134679561730084,,0.442854065840677,,,,
,,,"20%, 4 epochs [1000,500] ReLU Adam 0.0002","[1000,500] ReLU",0.614424285970899,1.52390874797916,,,0.253609221785995,0.629007219395897,,0.882616441181892,0.159522031408766,,0.438990663336347,,,,
,,,"20%, 4 epochs [1000,500] ReLU Adam 1e-4",,0.333572839949703,1.72381893299802,,,0.137685228725798,0.711521969556878,,0.849207198282676,0.097966065121869,,0.436906226223831,,,,
,,,"20%, 8 epochs [1000,500] ReLU Adam 1e-4",,0.411675947548051,1.60041314891323,,,0.169922997950342,0.660585107879642,,0.830508105829983,0.112248601932259,,0.415106337037186,,,,
,,,"20%, 10 epochs [1000,500] ReLU Adam 1e-4",,0.49338961738818,1.52638764145859,,,0.203651059634437,0.630030405263649,,0.833681464898086,0.128306359633856,,0.4096288122899,,,,
,,,"20%, 20 epochs [1000,500] ReLU Adam 1e-4",,0.545176935512843,1.4890066463086,,,0.225026747002045,0.614601058953558,,0.839627805955603,0.138301677000331,,0.408023321807026,,,,
,,,"50%, 10 epochs [600,300] ReLU Adam 1e-4",,0.479597628884497,1.50218070774205,,,0.197958290726754,0.620038772833339,,0.817997063560093,0.122741815654402,,0.395710471946148,,,,
,,TF-IDF* + NN,"100%, 10 epochs [1000,500] ReLU Adam 1e-5",10 epochs,0.33736065155614,1.35312503368073,,,0.139248682475453,0.558514685383337,,0.697763367858791,0.077772434082822,,0.285462785524572,,,,
,,,"100%, 20 epochs [1000,500] ReLU Adam 1e-5",20 epochs,0.364887245867597,1.25925726336361,,,0.150610535060294,0.519769907996659,,0.670380443056953,0.078282823951617,,0.257581373314799,,,,
,,,"100%, 30 epochs [400,200] ReLU Adam 1e-5","[400,200] 30 epochs",0.351986175628437,1.30369787568843,,,0.145285500783061,0.538113175612751,,0.683398676395812,0.078180042196862,,0.270939127151341,,,,
,,,"100%, 30 epochs [1000,500] ReLU Adam 1e-5",30 epochs,0.377533240643939,1.2134514584209,,,0.155830284616369,0.500863144689858,,0.656693429306227,0.07804964639087,,0.243393336734384,,,,
,,,"100%, 50 epochs [1000,500] ReLU Adam 1e-5",50 epochs,0.395097521456876,1.1664600914679,,,0.163080101542405,0.481467029862172,,0.644547131404577,0.078517692119243,,0.230295371556911,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",100 epochs,0.444194159131162,1.10985489439516,,,0.183345186040504,0.458102719065153,,0.641447905105658,0.083990928252662,,0.223153446372038,,,,
,,w2v + LSTM RNN,"1%, 2 epochs","1%, 2 epochs",4.83250107005278,0.988443429875873,,,1.99465884347241,0.407989030957954,,2.40264787443036,0.813798928640021,,0.503619545604704,,,,
,,,"10%, 10 epochs","10%, 10 epochs",,,,,1.1562911606768,0.718551433658035,,1.87484259433484,0.830854671230428,,0.738664072315353,,,,
,,,"20%, 20 epochs","20%, 20 epochs",,,,,1.517,0.577,,2.094,0.875309,,0.634717756000746,,,,
,,w2v + CNN + LSTM RNN + NN,"5-gram CNN, 4-Max Pool, 2 Linear Layers, 10%, 10 epochs","Deep, 10%, 10 epochs",,,,,1.32761655168869,0.680836577125165,,2.00845312881385,0.903889908786442,,0.72008543676563,,,,
,,,"5-gram CNN, 4-Max Pool, 2 Linear Layers, 10%, 7 epochs","Deep, 10%, 7 epochs",,,,,1.085,0.704,,1.789,0.76384,,0.715298828198451,,,,
,,w2v + CNN,"5,3-gram CNN, 2 Max Pool layers","5,3-CNN",,,,,1.338,0.606,,1.944,0.810828,,0.646327870696286,,,,
,,w2v + CNN,"5,3-gram CNN, 2 Max Pool layers, 20%","5,3-CNN, 20%",,,,,1.307,0.603,,1.91,0.788121,,0.640081219197929,,,,
,,BERT + LSTM RNN,"10%, 3 epochs","10%, 3 epochs",,,,,0.492799424467825,0.926876581749977,,1.4196760062178,0.456764246039094,,0.828866636451595,,,,
,,,"20%, 3 epochs","20%, 3 epochs",,,,,0.489,0.928,,1.417,0.453792,,0.828918098653244,,,,
,Spacey,BERT + NN,"20%, 7 epochs","20%, 7 epochs",,,,,1.794,0.326,,2.12,0.584844,,0.40694601526367,,,,
,Spacey,DistillBERT + NN,"10%, 7 epochs [256,256]","10%, 7 epochs",,,,,1.294,0.365,,1.659,0.47231,,0.400696740156901,,,,
,Spacey,DistillBERT + NN,"100%, 6 epochs [512,512]","[512,512] 6 epochs",,,,,1.025,0.353,,1.378,0.361825,,0.356419926843766,,,,
