drudgereport,http://drudgereport.com/
newsmax,http://www.newsmax.com
townhall,http://townhall.com
americanspectator,http://spectator.org
americanthinker,https://www.americanthinker.com/
politico,https://www.politico.com/
watimes,http://www.washingtontimes.com/
cnbc,https://www.cnbc.com/
swisspropagandaresearch,https://swprs.org/
corbettreport,https://www.corbettreport.com/
saker,https://thesaker.is/
youngturks,https://tyt.com/
veteranstoday,https://www.veteranstoday.com/
voltairenetwork,https://www.voltairenet.org/en
wsws,https://www.wsws.org/
opednews,http://www.opednews.com
indymedia,https://indymedia.org/
lifezette,http://lifezette.com/
rollingstone,https://www.rollingstone.com
dailybeast,https://www.thedailybeast.com/
esquire,https://www.esquire.com/
jezebel,https://jezebel.com/
mashable,https://mashable.com/
nydaily,https://www.nydailynews.com/
nymag,https://nymag.com/
newyorker,https://www.newyorker.com/
abovethelaw,https://abovethelaw.com/
abc,https://abcnews.go.com
bostonglobe,https://www.bostonglobe.com/
ajc,https://www.ajc.com/
statesman,https://www.statesman.com/
bgdaily,https://www.bgdailynews.com/
bustle,https://www.bustle.com/
commercialappeal,https://www.commercialappeal.com/
countercurrents,http://countercurrents.org/
courierjournal,https://www.courier-journal.com/
delcotimes,https://www.delcotimes.com/
freep,https://www.freep.com/
gq,https://www.gq.com/
inquirer,https://www.inquirer.com/
politifact,https://www.politifact.com/
root,https://www.theroot.com/
sjmercury,https://www.mercurynews.com/
statejournal,https://www.state-journal.com/
teenvogue,https://www.teenvogue.com/
univision,https://www.univision.com/
usnews,https://www.usnews.com/
vanityfair,https://www.vanityfair.com/
cnet,https://www.cnet.com/
pbs,https://www.pbs.org/newshour/
phys,https://phys.org/
axios,https://www.axios.com/
azcentral,https://www.azcentral.com/
chicagotribune,https://www.chicagotribune.com/
dailyprogress,https://www.dailyprogress.com/
desmoinesregister,https://www.desmoinesregister.com/
portlandpressherald,https://www.pressherald.com/
tallahassee,https://www.tallahassee.com/news/
telegraph,https://www.telegraph.co.uk/
bostonherald,https://www.bostonherald.com/
christianitytoday,https://www.christianitytoday.com/
dailypress,https://www.dailypress.com/
deseret,https://www.deseret.com/
hotair,http://hotair.com
ocregister,https://www.ocregister.com/
richmond,https://www.richmond.com/
cbn,https://www1.cbn.com/
cns,http://cnsnews.com
gatewaypundit,http://www.thegatewaypundit.com
redracinghorses,https://rrhelections.com/
allsides,https://www.allsides.com/unbiased-balanced-news
altpr,http://altpr.org/
knowhere,https://knowherenews.com/
afp,https://www.afp.com/en
democraticunderground,http://www.democraticunderground.com
bigleaguepolitics,http://bigleaguepolitics.com/
bipartisanreport,http://bipartisanreport.com/
bluelivesmatter,http://bluelivesmatter.blue/
citizenfreepress,http://citizenfreepress.com/
conservativetreehouse,http://theconservativetreehouse.com
counterinformation,http://counterinformation.wordpress.com/
crooksandliars,http://www.crooksandliars.com
dennismichaellynch,http://dennismichaellynch.com/
drudge,http://www.drudge.com
patriotpost,http://patriotpost.us
rightalert,http://rightalert.com/
star,https://www.thestar.com/
politicalwire,http://politicalwire.com
upi,https://www.upi.com/
perspective,https://www.theperspective.com/
disobedientmedia,https://disobedientmedia.com/
moonofalabama,http://www.moonofalabama.org/#spider
