CAN
USA
MEX
HND
GTM
BLZ
SLV
CRI
NIC
PAN
BLM
MAF
SPM
TCA
SXM
ABW
BHS
BRB
BMU
CUB
DMA
DOM
GRD
HTI
JAM
PRI
LCA
VCT
KNA
TTO
ATG
VIR
CUW
AIA
IOT
VGB
CYM
MSR
ARG
BOL
BRA
CHL
COL
ECU
GUY
PRY
PER
SUR
URY
VEN
FLK
SGS
DNK
GRL
FRO
FIN
ALA
ISL
NOR
SWE
GBR
GGY
IMN
JEY
AND
AUT
BEL
FRA
DEU
IRL
LIE
LUX
MCO
NLD
CHE
BLR
CZE
EST
HUN
LVA
LTU
MDA
POL
ROU
RUS
UKR
ALB
BIH
BGR
HRV
XKX
MKD
MNE
SRB
SVK
SVN
GRC
ITA
MLT
CYP
PRT
SMR
ESP
VAT
BHR
IRN
IRQ
ISR
JOR
KWT
LBN
PSE
QAT
OMN
SAU
SYR
TUR
ARE
YEM
ARM
AZE
GEO
KAZ
KGZ
TJK
TKM
UZB
CHN
HKG
MAC
TWN
JPN
PRK
KOR
MNG
AFG
BGD
BTN
IND
sia
MDV
MMR
NPL
PAK
LKA
KHM
IDN
LAO
MYS
BRN
PHL
SGP
THA
TLS
VNM
DZA
EGY
LBY
MAR
SSD
SDN
TUN
ESH
BEN
BFA
CIV
CPV
GMB
GHA
GIN
GNB
LBR
MLI
MRT
NER
NGA
SHN
SEN
SLE
TGO
AGO
CMR
CAF
TCD
COG
COD
GNQ
GAB
STP
BDI
COM
DJI
ERI
ETH
KEN
MUS
RWA
SYC
SOM
sml
TZA
UGA
MDG
MWI
MOZ
ZMB
ZWE
BWA
SWZ
LSO
NAM
ZAF
ATF
AUS
NZL
ANT
FSM
MHL
GUM
KIR
NRU
PLW
MNP
FJI
PNG
SLB
NCL
VUT
HMD
iot
aci
WSM
ASM
TON
PYF
PCN
WLF
COK
NIU
NFK
serial_murders
assassinations
shootings
genocide
nazi_policies
child_abuse
assaults
missing_persons
hostages
bomb_plots
explosions
vice_crime
child_porn
drug_traffic
cybercrime
whitewater
border_wall
path_to_citizenship
sanctuary_cities
legal_profession
attorneys_general
judges
guards
jury system
suits_against_govt
arbitration
fines
sentences
probation
trials
prison_reform
private_prisons
civil_liberties
whistleblowers
snowden
manning
hate_speech
safe_spaces
assange
gdpr
search_seizure
surveillance
governance
electoral_systems
gerrymandering
term_limits
ranked_choice_voting
open_primaries
public_election_funding
electoral_college
voter_id
mandatory_voting
online_voting
revolving_door
campaign_finance
social_issues
minorities_err
african_americans_us
asian_americans
racial_relations
equal_opportunity
priests
antisemitism
hinduism
buddhism
other_religions
non_religion
custody
retirement
social_security
immigration_emigration
refugees
unemployment_ job_market
layoffs
layoffs2
bullying
cyberbullying
personal_computers
computer_chips
electronics
id_devices
data_processing
email
mobile_phones
satellites
airlines_planes
airports
pilots
ferries
roads_traffic
cars
taxis
ride_sharing
bridges_tunnels
transit_systems
subways
buses
stations
utility vehicles and other light trucks
computer_science
cryptocurrency
ai
ml
engineering
space_shuttle
education
tuition
heart_disease
diabetes
breast
reproduction
pregnancy
mens_health
suicide
viruses
covid
malaria
hepatitis
dengue
influenza
aids
ebola
zika
anthrax
exercise
carbs
best_diet
school_soda
school_lunches
air_pollution
water_polution
toxins
vaping
addiction
opioids
age
death_dying
deaths
diets
cooking
recipes
food
meat
grain
dairy
fruit
fast_food
veganism
food_contamination
herbicide_limits
genetic_engineering
gmo
beverages
water
sodas
drinks
supermarkets
medicine_health
personal_health
hospitals
doctors
nursing
antivax
transplants
firemen
dna
blood
intelligence
news_media
newspapers
editorials
corrections
amusements
eating_drinking
jewelry
apparel
shoes_boots
furniture
furnishings
antiques
design
interior_design
toys
recording_equipment
new_products
collections
gifts
auctions
radio
audio_recordings
labels
music
rock
classical_music
jazz
tv
cable_tv
movies
video_recordings
oscars
documentaries
ratings
theater
opera
concerts
nightclubs
comedy
art_shows
exhibits
festivals
christmas
new_year
weddings
parades
royal_family
parties
dancing
games
bridge
chess
contests
gambling
leisure
gardening
dogs
athletics and sports
football
super_bowl
basketball
college_sports
baseball
tennis
times_sports
soccer
icehockey
skating
figure_skating
ncaa_basketball
olympics
skiing
playoffs
boxing
us_open
horse_racing
world_series
coaches
draft
trades
free_agents
car_racing
interscholastics
running
marathon running
bicycles and bicycling
golf
swimming
track_field
summer_games
stadiums
hunting
world_cup
fishing
boating
records
katrina
finances
banking
savings_loan_ass
credit
credit_cards
mortgages
interest
savings
stocks_bonds
government_bonds
nasdaq
dow_jones
mutual_funds
futures
futures_trading
brokers
stock_prices
currency
corporations
company_reports
mergers
federal_tax
income_tax
property_taxes
tax_credits
industry profiles
small business
postal service
shopping centers
factories and industrial plants
production
textiles
chemicals
metals_minerals
steel
architecture
home repairs and improvements
home repairs
condominiums
office buildings and commercial properties
renting and leasing
automobile insurance and liability
accounting and accountants
advertising and marketing
marketing and merchandising
advertising
trade_shows
conventions
sales
discount selling
us_economy
recession
wages
fares_fees
consumer_behavior
shortages
company_profiles
bankruptcies
executives
directors
relocation
budgets
personal_finances
philanthropy
privatization
contracts
federal_aid
light
blackouts
fossil_fuel
coal
renewables
solar_power
wind_power
farmers
livestock
animals
insects
waste
fisheries
trees
land_use
defense
us_defense
autonomous_weapons
missile_defence
military_personnel
bases
pentagon
military_action
war_revolution
yemen_war
syria_war
libya_war
afghanistan_war
independence_movements
other_conflict
cold_war
psychological_warfare
cyberwarfare
military_spending
elections
election_issues
primaries
national_convensions
presidential_elections
election1988
election1996
election2000
election 2004
election2008
presidents
vice_presidents
politics_government
us_politics
legislatures
local_government
govenors
mayors
city_councils
referendums
impeachment
political_appointments
amendments
reform
foreign_service
us_foreign_service
resignations
shutdowns
vetoes
summits
foreign_aid
sanctions
deregulation
zoning
political_ads
debates
history
biographical_info
daily_quote
books
reviews
awards
obituaries
holidays
photography
writing
art
historic_sites
monuments
restoration
world_trade_center
museums
book_trade
magazines
poetry
book_reviews
languages
spanish_language
